index,name,artist,release_date,length,popularity,danceability,acousticness,energy,tempo,valence
533,You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers,1965,3.774216667,63,0.369,0.522,0.305,94.791,0.376
547,Get Off Of My Cloud - Mono Version,The Rolling Stones,1965,2.918,55,0.579,0.0289,0.877,126.336,0.9
720,For Your Love - 2015 Remaster,The Yardbirds,1965,2.510433333,57,0.288,0.24,0.62,94.445,0.617
739,Desolation Row,Bob Dylan,1965,11.35666667,50,0.432,0.673,0.605,109.227,0.647
778,Dancing In The Street - Stereo,Martha Reeves & The Vandellas,1965,2.753766667,68,0.556,0.0118,0.57,126.01,0.304
837,She's Not There,The Zombies,1965,2.42155,63,0.523,0.579,0.803,132.316,0.898
904,California Girls - Remix/Remastered,The Beach Boys,1965,2.672666667,58,0.503,0.471,0.62,116.599,0.713
1080,Michelle - Remastered 2009,The Beatles,1965,2.706216667,66,0.578,0.652,0.29,117.403,0.666
1277,Nowhere Man - Remastered 2009,The Beatles,1965,2.728216667,63,0.534,0.00797,0.624,121.402,0.687
1291,Time Is On My Side - Mono Version,The Rolling Stones,1965,2.98555,53,0.508,0.291,0.645,99.302,0.412
1316,As Tears Go By - Mono Version,The Rolling Stones,1965,2.75355,54,0.331,0.723,0.277,112.78,0.366
1332,Anyway Anyhow Anywhere - Stereo Version,The Who,1965,2.732983333,32,0.306,0.523,0.801,136.629,0.458
1374,Do You Believe in Magic?,The Lovin' Spoonful,1965,2.0971,68,0.553,0.213,0.738,138.602,0.759
1467,Nowhere To Run,Martha Reeves & The Vandellas,1965,3.027333333,60,0.606,0.104,0.815,129.34,0.877
1571,Stop! In The Name Of Love - Single Version,The Supremes,1965,2.881766667,64,0.612,0.531,0.444,114.961,0.503
1658,It's My Life,The Animals,1965,3.126883333,46,0.551,0.000403,0.704,122.85,0.677
1886,Going To A Go-Go,Smokey Robinson & The Miracles,1965,2.7631,45,0.615,0.484,0.721,129.596,0.967
2081,Tired of Waiting for You,The Kinks,1965,2.497516667,45,0.674,0.526,0.731,122.097,0.834
2104,Play With Fire - Mono Version,The Rolling Stones,1965,2.222,56,0.578,0.178,0.429,108.738,0.0889
2640,Shotgun,Jr. Walker & The All Stars,1965,2.943766667,56,0.751,0.155,0.683,120.983,0.631
2643,Maggie's Farm,Bob Dylan,1965,3.910433333,48,0.415,0.481,0.72,176.785,0.619
2737,You've Got To Hide Your Love Away - Remastered 2009,The Beatles,1965,2.152,64,0.398,0.207,0.392,184.267,0.378
2959,"It's All over Now, Baby Blue",Bob Dylan,1965,4.2011,53,0.699,0.655,0.197,122.871,0.361
3089,It's The Same Old Song,Four Tops,1965,2.773333333,55,0.704,0.143,0.678,125.185,0.977
3144,Respect - Mono; 2008 Remaster,Otis Redding,1965,2.1831,43,0.709,0.19,0.841,117.538,0.961
3159,Back In My Arms Again,The Supremes,1965,2.9051,47,0.696,0.0182,0.521,121.215,0.479
3219,I Am a Rock,Paul Simon,1965,2.697766667,30,0.485,0.831,0.393,121.767,0.436
3233,How Sweet It Is (To Be Loved By You),Marvin Gaye,1965,2.962883333,60,0.653,0.323,0.49,110.202,0.963
3386,The Kids Are Alright,The Who,1965,3.128883333,43,0.316,0.0137,0.737,134.879,0.685
3421,Have Love Will Travel,The Sonics,1965,2.673333333,58,0.506,0.727,0.948,130.195,0.934
3540,Baby I Need Your Loving,Four Tops,1965,2.7671,62,0.632,0.437,0.686,121.414,0.65
3700,Eve Of Destruction,Barry McGuire,1965,3.5971,57,0.613,0.387,0.307,117.305,0.789
3705,If I Needed Someone - Remastered 2009,The Beatles,1965,2.3711,52,0.492,0.00748,0.755,127.387,0.796
3873,Did You Ever Have to Make up Your Mind?,The Lovin' Spoonful,1965,1.98955,38,0.789,0.761,0.5,120.214,0.945
4015,The Last Time - Mono Version,The Rolling Stones,1965,3.69155,52,0.327,0.144,0.92,167.972,0.439
4106,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,1965,2.671333333,72,0.667,0.245,0.599,127.935,0.971
4660,Dizzy Miss Lizzy - Remastered 2009,The Beatles,1965,2.941766667,48,0.373,0.116,0.934,136.037,0.918
4696,Heart Of Stone - Stereo Version / Remastered 2002,The Rolling Stones,1965,2.818216667,38,0.581,0.149,0.577,94.827,0.569
4848,Ballad of a Thin Man,Bob Dylan,1965,5.9451,54,0.473,0.695,0.574,74.056,0.499
5125,I've Just Seen A Face - Remastered 2009,The Beatles,1965,2.084,62,0.647,0.723,0.56,120.418,0.913
5144,I'm Looking Through You - Remastered 2009,The Beatles,1965,2.439766667,60,0.667,0.00772,0.498,85.843,0.774
56,"Paint It, Black",The Rolling Stones,1966,3.3711,78,0.464,0.0493,0.795,158.691,0.612
177,Eleanor Rigby - Remastered 2009,The Beatles,1966,2.108883333,69,0.581,0.936,0.28,137.831,0.813
205,For What It's Worth,Buffalo Springfield,1966,2.56155,75,0.653,0.406,0.519,98.883,0.822
251,Under My Thumb,The Rolling Stones,1966,3.692216667,64,0.732,0.299,0.494,126.986,0.799
288,God Only Knows - Remastered,The Beach Boys,1966,2.884,71,0.521,0.253,0.487,117.072,0.483
345,Gimme Some Lovin' - Single Mix,The Spencer Davis Group,1966,2.980666667,61,0.598,0.216,0.564,147.619,0.43
389,Eight Miles High,The Byrds,1966,3.577333333,55,0.364,0.21,0.768,130.602,0.37
407,California Dreamin' - Single Version,The Mamas & The Papas,1966,2.706216667,79,0.552,0.352,0.608,112.367,0.637
438,I Got You (I Feel Good),James Brown & The Famous Flames,1966,2.763333333,70,0.613,0.412,0.487,143.332,0.699
455,Wild Thing,The Troggs,1966,2.588883333,63,0.453,0.741,0.658,203.871,0.761
663,Sloop John B - Remastered,The Beach Boys,1966,3.002216667,60,0.567,0.402,0.745,125.575,0.903
746,Try a Little Tenderness,Otis Redding,1966,3.362216667,64,0.587,0.186,0.133,102.938,0.068
786,When a Man Loves a Woman,Percy Sledge,1966,2.897766667,67,0.516,0.13,0.15,97.398,0.206
875,Just Like a Woman,Bob Dylan,1966,4.8411,52,0.564,0.773,0.441,115.174,0.469
926,Rainy Day Women #12 & 35,Bob Dylan,1966,4.567766667,49,0.556,0.458,0.592,94.889,0.587
994,Sunny Afternoon - Mono Mix,The Kinks,1966,3.50875,67,0.595,0.102,0.465,124.991,0.492
1014,Summer in the City - Remastered,The Lovin' Spoonful,1966,2.671766667,64,0.423,0.0592,0.681,110.461,0.559
1067,Tomorrow Never Knows - Remastered 2009,The Beatles,1966,2.992433333,57,0.38,8.40E-05,0.829,125.887,0.0534
1131,Wouldn't It Be Nice - Stereo Mix,The Beach Boys,1966,2.553416667,71,0.392,0.718,0.629,124.511,0.72
1236,Mother's Little Helper,The Rolling Stones,1966,2.748216667,54,0.582,0.017,0.545,101.691,0.721
1382,And Your Bird Can Sing - Remastered 2009,The Beatles,1966,2.008216667,59,0.555,0.0067,0.65,132.59,0.966
1389,For No One - Remastered 2009,The Beatles,1966,1.996883333,62,0.483,0.783,0.351,81.208,0.713
1498,Dirty Water,The Standells,1966,2.78755,45,0.62,0.181,0.781,144.707,0.864
2022,Ain't Too Proud To Beg,The Temptations,1966,2.602883333,66,0.763,0.549,0.656,118.394,0.926
2032,"Monday, Monday - Single Version",The Mamas & The Papas,1966,3.47155,63,0.488,0.742,0.464,109.853,0.709
2053,"Here, There And Everywhere - Remastered 2009",The Beatles,1966,2.414666667,61,0.29,0.921,0.247,165.361,0.36
2079,Happenings Ten Years Time Ago - Mono,The Yardbirds,1966,2.952666667,31,0.486,0.417,0.733,126.963,0.601
2378,Taxman - Remastered 2009,The Beatles,1966,2.64755,61,0.469,0.0101,0.596,133.586,0.783
2513,"Hold On, I'm Comin'",Sam & Dave,1966,2.5951,67,0.803,0.196,0.338,106.841,0.912
2634,I'm So Glad,Cream,1966,3.966666667,38,0.356,0.0313,0.561,135.593,0.34
2857,You Can't Hurry Love,The Supremes,1966,2.798883333,73,0.63,0.299,0.711,96.912,0.659
2866,Hanky Panky - Single Version,Tommy James & The Shondells,1966,2.873333333,45,0.646,0.411,0.911,126.122,0.895
2892,What'Cha Gonna Do About It,Small Faces,1966,1.954433333,32,0.668,0.364,0.847,76.449,0.747
2981,Scarborough Fair / Canticle,Simon & Garfunkel,1966,3.172433333,63,0.336,0.648,0.248,128.548,0.297
2997,Absolutely Sweet Marie,Bob Dylan,1966,4.903333333,39,0.566,0.223,0.738,133.859,0.806
3130,Along Comes Mary,The Association,1966,2.85,54,0.584,0.0883,0.62,143.561,0.857
3170,"It's All Over Now, Baby Blue (feat. Van Morrison)",Them,1966,3.790666667,57,0.604,0.19,0.457,112.18,0.694
3458,Pushin' Too Hard,The Seeds,1966,2.6463,41,0.535,0.267,0.654,143.612,0.827
3460,I Hate You,The Monks,1966,3.561766667,43,0.65,0.441,0.798,110.646,0.464
3575,Visions of Johanna,Bob Dylan,1966,7.518883333,50,0.59,0.32,0.483,93.427,0.653
3759,Leopard-Skin Pill-Box Hat,Bob Dylan,1966,3.938883333,41,0.572,0.304,0.593,97.475,0.968
3769,Mr. Spaceman,The Byrds,1966,2.158433333,46,0.583,0.268,0.708,107.87,0.927
3787,You Don't Have To Say You Love Me,Dusty Springfield,1966,2.840666667,50,0.317,0.455,0.513,111.5,0.627
4066,Yellow Submarine - Remastered 2009,The Beatles,1966,2.648,64,0.604,0.531,0.549,111.398,0.696
4174,Season of the Witch,Donovan,1966,4.898883333,64,0.516,0.159,0.513,99.735,0.694
4579,Stuck Inside of Mobile with the Memphis Blues Again,Bob Dylan,1966,7.0611,46,0.465,0.301,0.747,135.526,0.628
4585,With A Girl Like You,The Troggs,1966,2.14155,49,0.65,0.497,0.68,113.925,0.604
4598,I Want You,Bob Dylan,1966,3.086666667,60,0.508,0.36,0.68,99.905,0.792
4687,"A Quick One, While He's Away - Mono Version",The Who,1966,9.186,33,0.396,0.196,0.657,130.229,0.305
4721,Talk Talk,The Music Machine,1966,1.968883333,30,0.684,0.0384,0.864,107.028,0.841
4927,Don't Bring Me Down (Bonus Track),The Animals,1966,3.27755,35,0.53,0.357,0.789,116.82,0.784
5313,Land Of A Thousand Dances,Little Richard,1966,2.154433333,10,0.521,0.161,0.805,97.947,0.93
5318,Temporary Like Achilles,Bob Dylan,1966,5.0051,37,0.367,0.244,0.392,121.611,0.431
27,Light My Fire,The Doors,1967,7.162666667,73,0.413,0.369,0.725,124.618,0.44
38,Purple Haze,Jimi Hendrix,1967,2.846883333,72,0.533,0.00876,0.905,108.9,0.486
52,A Day In The Life - Remastered 2009,The Beatles,1967,5.62355,66,0.364,0.29,0.457,163.219,0.175
86,Good Vibrations - Remastered,The Beach Boys,1967,3.650433333,70,0.396,0.326,0.473,133.449,0.385
91,Hey Joe,Jimi Hendrix,1967,3.502666667,71,0.346,0.00603,0.768,169.492,0.532
103,Strawberry Fields Forever - Remastered 2009,The Beatles,1967,4.122,70,0.39,0.336,0.502,97.871,0.289
162,A Whiter Shade of Pale - Original Single Version,Procol Harum,1967,4.1491,47,0.249,0.504,0.66,149.813,0.435
185,Somebody to Love,Jefferson Airplane,1967,2.914,72,0.504,0.408,0.578,132.411,0.654
187,Respect,Aretha Franklin,1967,2.46,73,0.805,0.164,0.558,114.95,0.965
192,Nights In White Satin - Single Version / Mono Mix,The Moody Blues,1967,4.4851,68,0.195,0.465,0.483,84.71,0.173
